"441004.775847026" "163971.252268603"
"447365.044867202" "164261.343012704"
"458291.660876220" "163100.980036298"
"459922.499086522" "162665.843920145"
"461390.253475793" "164261.343012704"
"463510.343149185" "165566.751361162"
"466445.851927727" "162810.889292196"
"474926.210621294" "163681.161524501"
"478514.054683957" "162085.662431942"
"482101.89874662" "162230.707803993"
"484221.988420011" "160925.299455535"
"487972.916303705" "157299.165154265"
"488625.251587825" "154108.166969147"
"488299.083945765" "148596.442831216"
"483080.401672801" "150046.896551724"
"480797.228178379" "146130.671506352"
"482101.89874662" "143374.809437387"
"482428.06638868" "139748.675136116"
"484058.904598981" "140909.038112523"
"484711.239883102" "138298.221415608"
"486505.161914433" "135977.495462795"
"487809.832482674" "135542.359346642"
"487646.748661644" "134672.087114338"
"487483.664840614" "132931.542649728"
"485037.407525162" "130465.771324864"
"482264.98256765" "129595.499092559"
"481449.563462499" "130900.907441016"
"480960.311999409" "127854.954627949"
"477861.719399836" "125099.092558984"
"477698.635578806" "123358.548094374"
"477372.467936746" "122778.366606171"
"474926.210621294" "116541.415607985"
"475578.545905415" "114655.825771325"
"474926.210621294" "113930.598911071"
"473621.540053053" "111029.691470054"
"475741.629726445" "107983.738656987"
"475741.629726445" "105082.831215971"
"471827.618021721" "104647.695099819"
"470359.86363245" "105372.921960073"
"469381.360706269" "103487.332123412"
"467261.271032878" "103777.422867514"
"468565.941601119" "99861.1978221416"
"468402.857780089" "98700.834845735"
"464325.762254335" "97830.5626134301"
"463347.259328155" "98700.834845735"
"462694.924044034" "100006.243194192"
"463347.259328155" "101746.787658802"
"463836.510791245" "103052.196007260"
"464162.678433305" "104067.513611615"
"462042.588759914" "104792.740471869"
"458943.996160341" "105372.921960073"
"459433.247623431" "104792.740471869"
"461553.337296823" "101311.651542650"
"462205.672580944" "99135.9709618875"
"460737.918191672" "97540.4718693285"
"453725.313887377" "102326.969147005"
"448343.547793382" "105082.831215971"
"443777.200804539" "110014.373865699"
"439373.937636725" "111754.918330309"
"444266.452267629" "106533.284936479"
"446712.709583081" "104647.695099819"
"446875.793404111" "103632.377495463"
"448832.799256473" "102326.969147005"
"446223.458119991" "98410.7441016334"
"442961.781699388" "98555.7894736842"
"442635.614057328" "97395.4264972777"
"434155.255363761" "94929.6551724138"
"433013.66861655" "95364.7912885663"
"430078.159838008" "90723.3393829401"
"421597.801144441" "93624.2468239564"
"422902.471712682" "94929.6551724138"
"418173.040902808" "93914.337568058"
"417846.873260748" "97540.4718693285"
"415237.532124266" "96380.108892922"
"413117.442450874" "100876.515426497"
"414748.280661175" "104212.558983666"
"413443.610092934" "106968.421052632"
"412138.939524693" "106098.148820327"
"410181.933672331" "107403.557168784"
"410997.352777482" "111174.736842105"
"412302.023345723" "111319.782214156"
"413117.442450874" "114075.644283122"
"411323.520419542" "114800.871143376"
"409203.430746151" "112770.235934664"
"402843.161725976" "120602.686025408"
"409203.430746151" "122923.411978221"
"408551.09546203" "121182.867513612"
"410834.268956452" "123503.593466425"
"412791.274808814" "121472.958257713"
"414259.029198085" "121472.958257713"
"418009.957081778" "120167.549909256"
"419477.711471049" "119877.459165154"
"424044.058459893" "116396.370235935"
"425674.896670194" "117991.869328494"
"426653.399596375" "117701.778584392"
"427958.070164616" "120022.504537205"
"426164.148133284" "122198.185117967"
"427631.902522556" "124083.774954628"
"427468.818701525" "125389.183303085"
"425511.812849164" "126404.500907441"
"425837.980491224" "131190.998185118"
"425348.729028134" "132641.451905626"
"426164.148133284" "135832.450090744"
"423880.974638863" "136557.676950998"
"424207.142280923" "139748.675136116"
"423065.555533712" "142069.401088929"
"423391.723175772" "143954.990925590"
"421434.717323411" "144535.172413793"
"420945.46586032" "148596.442831216"
"426001.064312254" "148596.442831216"
"427631.902522556" "150482.032667877"
"429588.908374917" "151207.259528131"
"431872.081869339" "149901.851179673"
"432035.165690369" "151642.395644283"
"431872.081869339" "154398.257713249"
"433013.66861655" "154978.439201452"
"432524.417153460" "160200.072595281"
"435786.093574062" "159329.800362976"
"439700.105278785" "160490.163339383"
"438721.602352605" "161795.571687840"
